 age, marital_status, education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
29,married,Associate Certification,Female,27,<15 kms,Internal Referrals,8,5/12/15,10/14/15,24,3,Lateral,Yes,5,No,Yes
37,married,Associate Degree,Female,22,<15 kms,Consultants,8,3/9/15,9/3/15,20,8,Lateral,Yes,13,No,Yes
28,married,Associate Certification,Female,32,<15 kms,Internal Referrals,8,12/17/15,5/22/16,23,4,Lateral,Yes,4,No,Yes
44,married,Associate Certification,Female,27,> 20 kms,Job Portals,9,12/11/15,6/7/16,26,6,Lateral,Yes,20,No,Yes
32,married,Bachelor Degree,Female,28,15-20 kms,Company Website,3,2/13/16,3/11/16,53,8,Vertical,Yes,8,No,No
44,married,Bachelor Degree,Female,34,> 20 kms,Social Media,9,3/14/16,8/11/16,30,7,Lateral,Yes,20,No,Yes
27,married,Bachelor Degree,Female,22,<15 kms,Consultants,3,12/17/15,1/13/16,47,5,Vertical,No,6,Yes,No
34,married,Associate Degree,Female,19,15-20 kms,Social Media,3,6/13/15,6/26/15,74,6,Lateral,No,10,No,No
33,single,Master Degree,Female,18,> 20 kms,Job Portals,10,6/16/15,11/16/15,18,8,Lateral,Yes,9,No,Yes
42,single,Associate Degree,Female,16,> 20 kms,Job Portals,6,7/12/15,8/10/15,88,8,Vertical,Yes,18,Yes,No
38,married,Associate Degree,Female,16,<15 kms,Social Media,10,7/10/15,12/5/15,20,5,Lateral,Yes,14,No,Yes
33,single,Bachelor Degree,Female,38,> 20 kms,Consultants,4,3/21/16,4/4/16,31,4,Vertical,Yes,9,No,No
35,single,Associate Certification,Female,40,> 20 kms,Internal Referrals,9,3/17/15,8/30/15,23,5,Lateral,Yes,11,No,Yes
25,divorced,Associate Certification,Female,40,> 20 kms,Social Media,9,11/14/15,4/6/16,28,1,Lateral,Yes,1,No,Yes
32,married,Bachelor Degree,Female,16,> 20 kms,Consultants,9,6/10/15,12/5/15,17,8,Lateral,Yes,8,No,Yes
35,married,Bachelor Degree,Female,25,<15 kms,Consultants,9,6/8/16,11/16/16,15,4,Lateral,Yes,11,No,Yes
37,married,Bachelor Degree,Female,28,<15 kms,Social Media,8,12/20/15,5/9/16,22,4,Lateral,Yes,13,No,Yes
25,married,Associate Certification,Female,35,15-20 kms,Company Website,7,7/10/15,7/16/15,66,1,Lateral,No,1,Yes,No
26,married,Associate Degree,Female,32,> 20 kms,Social Media,9,6/16/15,11/3/15,20,1,Lateral,Yes,2,No,Yes
31,single,Associate Degree,Female,18,> 20 kms,Company Website,3,10/15/15,10/17/15,55,3,Lateral,No,7,Yes,No
36,married,Associate Degree,Female,19,> 20 kms,Consultants,8,1/4/15,5/28/15,20,6,Lateral,Yes,12,No,Yes
38,married,Bachelor Degree,Female,25,> 20 kms,Company Website,9,5/16/16,6/15/16,80,5,Lateral,Yes,14,No,No
38,single,Master Degree,Female,16,<15 kms,Job Portals,9,4/5/15,5/14/15,45,6,Lateral,No,14,Yes,No
39,single,Associate Degree,Female,30,<15 kms,Job Portals,8,4/6/15,10/1/15,30,5,Lateral,Yes,15,No,Yes
25,married,Associate Certification,Female,39,<15 kms,Company Website,3,10/27/15,11/11/15,56,1,Vertical,No,1,No,No
39,married,Associate Degree,Female,19,15-20 kms,Job Portals,3,6/14/16,7/23/16,60,6,Lateral,Yes,15,Yes,No
40,married,Master Degree,Female,30,<15 kms,Consultants,9,10/20/15,3/12/16,28,7,Lateral,Yes,16,No,Yes
37,married,Bachelor Degree,Female,25,15-20 kms,Job Portals,8,2/8/15,3/7/15,42,6,Lateral,No,13,Yes,No
31,single,Associate Certification,Female,29,<15 kms,Consultants,9,6/10/15,11/18/15,24,3,Lateral,Yes,7,No,Yes
27,married,Bachelor Degree,Female,29,> 20 kms,Job Portals,5,3/21/16,4/20/16,92,3,Vertical,No,3,No,No
42,married,Associate Certification,Female,17,15-20 kms,Job Portals,4,4/16/16,5/7/16,88,6,Vertical,No,18,No,No
33,married,Bachelor Degree,Female,36,> 20 kms,Internal Referrals,8,5/27/15,10/25/15,20,8,Lateral,Yes,9,No,Yes
36,married,Associate Certification,Female,25,<15 kms,Internal Referrals,9,6/7/15,10/28/15,28,8,Lateral,Yes,12,No,Yes
38,married,Associate Degree,Female,30,> 20 kms,Job Portals,10,1/15/16,7/12/16,21,8,Lateral,Yes,14,No,Yes
41,divorced,Bachelor Degree,Female,16,> 20 kms,Job Portals,8,1/21/16,6/19/16,19,8,Lateral,Yes,17,No,Yes
43,married,Master Degree,Female,22,<15 kms,Consultants,10,12/19/15,6/2/16,28,7,Lateral,Yes,19,No,Yes
43,married,Bachelor Degree,Female,25,> 20 kms,Consultants,8,2/13/16,8/8/16,20,7,Lateral,Yes,19,No,Yes
41,married,Bachelor Degree,Female,29,> 20 kms,Social Media,10,7/16/15,1/7/16,24,8,Lateral,Yes,17,No,Yes
38,married,Master Degree,Female,32,> 20 kms,Social Media,10,3/25/16,8/18/16,29,4,Lateral,Yes,8,No,Yes
34,married,Associate Degree,Female,37,<15 kms,Job Portals,3,5/8/16,5/25/16,32,4,Lateral,Yes,10,Yes,No
45,unknown,Associate Degree,Female,35,> 20 kms,Social Media,9,10/20/15,11/19/15,73,7,Vertical,No,21,No,No
28,married,Associate Degree,Female,35,15-20 kms,Job Portals,5,9/22/15,9/30/15,66,3,Vertical,No,4,Yes,No
39,single,Associate Degree,Female,23,<15 kms,Consultants,3,5/4/15,5/18/15,87,5,Lateral,Yes,15,No,No
31,married,Associate Degree,Female,18,15-20 kms,Job Portals,3,12/25/15,1/2/16,79,5,Lateral,Yes,7,No,No
38,married,Bachelor Degree,Female,38,<15 kms,Job Portals,5,7/10/15,7/19/15,54,5,Lateral,No,14,No,No
35,single,Master Degree,Female,21,> 20 kms,Company Website,3,8/12/15,8/22/15,63,4,Vertical,Yes,11,Yes,No
33,married,Master Degree,Female,39,<15 kms,Company Website,6,8/25/15,9/22/15,35,6,Vertical,No,9,No,No
39,married,Associate Certification,Female,36,> 20 kms,Consultants,10,9/12/15,2/26/16,19,5,Lateral,Yes,15,No,Yes
29,married,Associate Degree,Female,20,> 20 kms,Job Portals,9,3/14/16,4/4/16,84,4,Vertical,Yes,5,No,No
38,married,Bachelor Degree,Female,18,> 20 kms,Social Media,6,3/27/15,4/23/15,41,4,Vertical,Yes,14,Yes,No
38,married,Master Degree,Female,27,<15 kms,Company Website,8,8/16/15,8/22/15,30,7,Lateral,Yes,14,No,No
41,married,Associate Certification,Female,26,<15 kms,Job Portals,4,3/12/16,4/2/16,85,3,Lateral,Yes,17,Yes,No
